;title;processId;processName;priority;ownedBy;processNumber;createdBy;state;createdDate;updatedDate;processDN;levels;href
0;Instance #90222 of Verification;90222;Verification;5;Public Works.ProcessOwner;200724;neville;OPEN;2019-10-09T12:55:30.000Z;2019-10-09T12:59:45.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/90222
1;Instance #80121 of Verification;80121;Verification;5;Public Works.ProcessOwner;200728;neville;OPEN;2019-10-09T13:02:05.000Z;2019-10-09T13:06:09.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/80121
2;Instance #90227 of Verification;90227;Verification;5;Public Works.ProcessOwner;200731;neville;OPEN;2019-10-09T13:05:54.000Z;2019-10-09T13:20:13.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/90227
3;Instance #90230 of Verification;90230;Verification;5;Public Works.ProcessOwner;200734;neville;OPEN;2019-10-09T13:08:44.000Z;2019-10-09T13:25:06.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/90230
4;Instance #80123 of Verification;80123;Verification;5;Public Works.ProcessOwner;200736;neville;OPEN;2019-10-09T13:12:03.000Z;2019-10-09T13:24:22.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/80123
5;Instance #90232 of Verification;90232;Verification;5;Public Works.ProcessOwner;200738;neville;OPEN;2019-10-09T13:14:33.000Z;2019-10-10T06:13:59.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/90232
6;Instance #80125 of Verification;80125;Verification;5;Public Works.ProcessOwner;200740;neville;OPEN;2019-10-09T13:17:43.000Z;2019-10-09T13:52:03.000Z;oracleinternalpcs~Public_Works!2~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/80125
7;Instance #100001 of Verification;100001;Verification;5;Public Works.ProcessOwner;201049;flip@profmap.com;OPEN;2019-10-17T10:32:38.000Z;2019-10-17T10:32:42.000Z;oracleinternalpcs~Public_Works!3~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100001
8;Instance #100003 of Verification;100003;Verification;5;Public Works.ProcessOwner;201052;flip@profmap.com;OPEN;2019-10-17T10:50:41.000Z;2019-10-17T10:50:43.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100003
9;Instance #100007 of Verification;100007;Verification;5;Public Works.ProcessOwner;201062;flip@profmap.com;OPEN;2019-10-17T11:45:08.000Z;2020-02-24T13:31:08.000Z;oracleinternalpcs~Public_Works!3.1~Verification;0;https://integration227992-pmmopc.integration.ocp.oraclecloud.com:443/ic/api/process/v1/processes/100007
