processid;state;user;tasktype;taskid;action;pmmid;region;priority;
110286;OPEN;Approve GeoSlam;USER_TASK;201486;SUSPENDED;6;DURBAN;1;6
100180;OPEN;Approve QA;USER_TASK;202079;ASSIGNED;6;DURBAN;1;6
120005;OPEN;Approve LS;USER_TASK;202351;ASSIGNED;6;DURBAN;1;6
100327;OPEN;Approve GeoSlam;USER_TASK;202022;ASSIGNED;13;JOHANNESBURG;2;#N/A
130013;OPEN;Approve GeoSlam;USER_TASK;202106;ASSIGNED;13;JOHANNESBURG;2;#N/A
110180;OPEN;Approve GeoSlam;USER_TASK;201303;SUSPENDED;28;DURBAN;1;28
110288;OPEN;Approve GeoSlam;USER_TASK;201488;SUSPENDED;28;DURBAN;1;28
130015;OPEN;Approve GeoSlam;USER_TASK;202108;ASSIGNED;28;DURBAN;1;28
110290;OPEN;User task 2;USER_TASK;202088;ASSIGNED;29;DURBAN;1;29
130017;OPEN;Approve GeoSlam;USER_TASK;202110;ASSIGNED;29;DURBAN;1;29
110525;OPEN;Approve GeoSlam;USER_TASK;201935;ASSIGNED;63;JOHANNESBURG;2;#N/A
130019;OPEN;Approve GeoSlam;USER_TASK;202112;ASSIGNED;63;JOHANNESBURG;2;#N/A
100280;OPEN;Approve GeoSlam;USER_TASK;201914;ASSIGNED;112;JOHANNESBURG;1;#N/A
100325;OPEN;Approve GeoSlam;USER_TASK;202020;ASSIGNED;112;JOHANNESBURG;1;#N/A
110268;OPEN;User task 2;USER_TASK;202071;ASSIGNED;119;JOHANNESBURG;1;#N/A
100171;OPEN;Approve GeoSlam;USER_TASK;201568;ASSIGNED;227;PRETORIA;1;#N/A
110334;OPEN;Approve GeoSlam;USER_TASK;201570;ASSIGNED;229;PRETORIA;1;#N/A
130021;OPEN;Approve GeoSlam;USER_TASK;202114;ASSIGNED;236;JOHANNESBURG;2;#N/A
130023;OPEN;Approve GeoSlam;USER_TASK;202116;ASSIGNED;237;JOHANNESBURG;2;#N/A
110270;OPEN;Approve GeoSlam;USER_TASK;201454;ASSIGNED;239;JOHANNESBURG;1;#N/A
110272;OPEN;Approve GeoSlam;USER_TASK;201456;ASSIGNED;241;JOHANNESBURG;1;#N/A
110548;OPEN;Approve GeoSlam;USER_TASK;201964;ASSIGNED;243;JOHANNESBURG;2;#N/A
110546;OPEN;Approve GeoSlam;USER_TASK;201962;ASSIGNED;244;JOHANNESBURG;2;#N/A
