1554,TRANSWERKE,,ARTS AND CULTURE,1,1,SAM HANCKOK,IR,-26.1873791,28.0414793,FLAT,JOHANNESBURG ;Public Works.ProcessLS;201444
638,RESIDENTIAL,,CORRECTIONAL SERVICES,0,1,IMPALA STR DIEPKLOOF,IQ,-26.2712331,27.9717125,RESIDENTIAL HOUSE,JOHANNESBURG ;Public Works.ProcessLS;201446
633,RESIDENTIAL HOUSE,,CORRECTIONAL SERVICES,0,1,IMPALA STR DIEPKLOOF,IQ,-26.2713846,27.9724624,PRISON,JOHANNESBURG ;Public Works.ProcessLS;201448
1823,DAERAAD FLATS,,SA POLICE SERVICES,1,53,JOHANNES RAMOKHOASE STREET,PRETORIA,-25.7442054,28.1809249,FLAT,PRETORIA ;Public Works.ProcessLS;201449
655,MEDIUM B,,CORRECTIONAL SERVICES,1,1,IMPALA STR DIEPKLOOF,IQ,-26.2743143,27.9642261,PRISON,JOHANNESBURG ;Public Works.ProcessLS;201450
239,SAPS HILLBROW,,SA POLICE SERVICES,1,1,CLEARONDON,JOHANNESBURG,-26.1876633,28.0448564,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;201454
241,BARRAKS,,SA POLICE SERVICES,1,2,CLEARONDON,JOHANNESBURG,-26.1882475,28.0444852,SINGLE QUARTER FLATS,JOHANNESBURG ;Public Works.ProcessReviewer;201456
656,MEDIUM A CORRECTIONAL CENTRE,,CORRECTIONAL SERVICES,1,1,IMPALA STR DIEPKLOOF,IQ,-26.2727853,27.9622615,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;201462
1816,CONSTITUTIONAL COURT OF SOUTH AFRICA,,ARTS AND CULTURE,1,N;Public Works.ProcessReviewer;201474
764,KZN MUSEUM,,SA POLICE SERVICES,1,237,JABU NDLOVU STREET,PIETERMARITZBURG,-29.6039399,30.3800972,MUSEUM,DURBAN ;Public Works.ProcessReviewer;201492
2646,TPA,,PUBLIC WORKS,1,159,CORNER CHURCH STREET AND BOSMAN STREET,PRETORIA,-25.7474279,28.1862747,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201536
227,Pretoria Central SAPS,,SA POLICE SERVICES,1,137,PRETORIUS STREET,PRETORIA,-25.7485372,28.1851779,POLICE STATION,PRETORIA ;Public Works.ProcessReviewer;201568
229,Assize Building,,SA POLICE SERVICES,1,137,PRETORIUS STREET,PRETORIA,-25.7492351,28.1850277,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201570
2921,Government printing works,,GOVERNMENT PRINTING WORKS,1,149,Bosman,PRETORIA,-25.7444218,28.1846336,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201576
2704,MEDPARK BUILDING,ERF 534,PUBLIC WORKS,1,n;Public Works.ProcessReviewer;201578
2306,FLATS 21 - 30,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.4011875,25.327001,PRISON,PORT ELIZABETH ;Public Works.ProcessQA;201797
1009,HIGH COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,12,MANSONLIC,DURBAN,-29.8621067,31.0194375,MAGISTRATES COURT,DURBAN ;Public Works.ProcessQA;201816
2548,NO BUILDING NAME,,SA POLICE SERVICES,1,46,COMMISSIONER STREET,KLERKSDORP,-26.8676699,26.6627237,RESIDENTIAL HOUSE,MMABATHO ;Public Works.ProcessQA;201832
